TRIG,UNIT,DATE_DEBUT_DELTA,DATE_FIN_DELTA,VALEUR,MATERIAU,TENEUR,AP_mean,indicateur_1,indicateur_2,CHIMIE1,pc0min,pmd,CHIMIE2,indicateur_3,CHIMIE3,sortie_1,chimie3_first_range,chimie3_sr,indicateur_4,TARGET,info,indicateur_5,indicateur_6,sortie_2,sortie_3,CHIMIE4,indicateur_7,indicateur_8,indicateur_9,indicateur_10,indicateur_11,indicateur_12,indicateur_13,indicateur_14,indicateur_15,indicateur_16,indicateur_17,indicateur_18,indicateur_19,indicateur_20,indicateur_21,indicateur_22,indicateur_23,indicateur_24,indicateur_25,indicateur_26,indicateur_27,indicateur_28,indicateur_29,indicateur_30,indicateur_31,indicateur_32,indicateur_33,indicateur_34,indicateur_35,indicateur_36,indicateur_37,indicateur_38,indicateur_39,indicateur_40,indicateur_41
TOTO,1,19/12/2008 00:00,27/03/2010 00:00,10.49999982118607,A,0.4440632861322734,0.3785662921348315,10.062202707647272,0.0,0.1261261261261261,0.0,0.1772573194144469,1.187219730941704,0.7682721139430285,0.2746781115879828,0.1043853073463268,0.0,0.2242316341829085,0.0182319897506652,4.116355816697705,1,0.0003795786676788,0.0413740747769975,0.0229572713643178,0.158452023988006,0.0,0.0231446776611694,0.0,0.2119565217391305,0.7648988005997002,0.0,0.9849137931034484,0.0150862068965517,0.0230509745127436,0.4206334332833584,0.556315592203898,0.0231446776611694,0.0,0.0,0.0134932533733133,0.0105884557721139,0.3143740629685157,0.6615442278860569,0.0,0.0,0.0,0.0,0.985850824587706,0.0141491754122938,0.8826836581709145,0.0,0.0171192443919716,0.1094057457693821,0.0,0.0232383808095952,0.0,0.0,0.1212180940179363,0.8538484281068296,0.0,0.0
TOTO,1,11/08/2010 00:00,24/09/2011 00:00,15.0,B,0.4440632861322734,0.3680228070175439,10.111223458038422,0.0,0.0339425587467363,0.0,0.3996009915783754,1.049751243781094,0.4858270169245146,0.1031941031941032,0.0953172048593084,0.0,0.3325719032291559,0.0306359602788928,0.0,1,0.0,0.0433742458914083,0.0391444294465787,0.3106634825044128,0.0,0.0436091786938012,0.0,0.3506385629737306,0.605752258332468,0.0,0.9692659121586544,0.0307340878413456,0.0441283355830131,0.4763783615408577,0.4794933028761292,0.0442321669608555,0.0,0.0,0.0126674280967708,0.0319800643754542,0.3778423839684353,0.5775101235593396,0.0,0.0,0.0,0.0,0.981621846121898,0.0183781538781019,0.9657356453120132,0.0,0.0225039619651347,0.0758584257791864,0.0,0.0395597549579482,0.0,0.0,0.2422353686879357,0.7201563490386647,0.0,0.0
TOTO,1,23/12/2011 00:00,19/07/2014 00:00,15.0,A,0.4440632861322734,0.2943383867276888,32.33213064055105,0.036354961832061,0.1165714285714286,0.0011426669625027,0.3072398491235855,1.442306818181818,0.509780534351145,0.08646188850967,0.0346851145038168,0.0,0.015520534861509,0.036833855799373,1.464317510894522,1,0.0,0.0269544364508393,0.0491412213740458,0.4393129770992367,0.0,0.0483301526717557,0.0,0.4665553435114504,,0.0432729007633587,0.9055343511450382,0.051192748091603,0.0587309160305343,0.6372137404580153,0.3040553435114504,,0.0,0.0,0.0397900763358778,0.0615935114503816,0.4708492366412214,0.4277671755725191,0.0,0.0,0.0095419847328244,0.0135973282442748,0.9141698473282442,0.0263358778625954,0.8623371665791859,4.894762604013705e-05,0.0364170337738619,0.1680861478218307,0.0,0.0468511450381679,0.0,0.0,0.3702488244514107,0.5821904388714734,0.0,0.0
TOTO,1,08/10/2014 00:00,27/05/2017 00:00,18.125,A,0.4440632861322734,0.2972397762345679,41.79529802897174,0.0541573903784725,0.1747685185185185,7.218757218757218e-07,0.4982523388773389,1.703196347031964,0.3277340245239757,0.16,0.0294402011021947,0.0,0.075170729275709,,9.261458085965328,1,0.0063480955713286,0.0213935819254223,0.0684037513294015,0.2541332302040027,0.0,0.0625060427342163,0.0,0.2692158948080828,0.6682780624577008,0.0621573123317715,0.8877479812580998,0.0500947064101286,0.0639562989461471,0.3404718166876148,0.5955718843662379,,0.0,0.0,0.0479551387411776,0.065648264526733,0.1907086918688969,0.6956879048631925,0.0,0.0,0.0118091181879779,0.1918013745039203,0.7306649888684542,0.0114703320104539,0.7381320699990331,0.0,0.041235618292565,0.1235134873827709,0.0,0.0634728802088368,0.0,0.0,0.4442618195881272,0.4835637629314512,0.0,0.0
TOTO,1,25/10/2017 00:00,10/11/2018 00:00,37.625,A,0.4440632861322734,0.2311388140161725,14.202993554026005,0.000224315836698,0.2830188679245283,0.0,0.8493493712411153,1.235376344086022,0.06216457960644,0.0618279569892473,,0.0,0.2994969256567915,,4.50671910848902,1,0.003140069530111,0.0169339463945273,0.052872792309412,0.0296221775095014,0.0,0.0533199195171026,0.0,0.0368879946344735,0.909792085848424,0.0,0.9484685893136596,0.0515314106863402,0.0532140860816098,0.2128563443264393,0.7339295695919508,,0.0,0.0,0.0358819584171696,0.0185557791191594,0.0210149787614576,0.9245472837022132,0.0,0.0,0.0,0.9082548227904892,0.0773889636608344,0.0141318977119784,0.9278926774734488,0.0,0.0471771939631078,0.0491894913359418,0.0,0.0550027948574622,0.0,0.0,0.5284516489659027,0.4173281162660704,0.0,0.0
TOTO,2,17/01/2008 00:00,23/05/2009 00:00,29.375,B,0.4582845558589381,0.2763860294117647,76.11637347767252,0.0900329918388609,0.0273109243697479,0.0026749668275881,0.2005731063493408,1.137763713080169,0.5888647237929534,0.1331967213114754,,0.0,0.1517181383210091,0.0271422357546759,2.1143437077131257,0,0.0035253734112626,0.0042675572873179,0.0644209064073624,0.4352318110783122,0.0,0.0650286508074318,0.0,0.4931411703420733,0.4418301788504949,0.0959714608892369,0.8508657443661359,0.0531627947446271,,0.476732071540198,0.4534641430803959,,0.0,0.0,0.0906407362389303,0.0667650633790588,0.3722868553568328,0.470307345025178,0.0,0.0,0.0182323320020836,0.718961625282167,0.1451640909880187,0.0276089598888696,0.6210279562424031,0.0013919095258808,0.0489778164419312,0.0833405828621139,0.0,0.0586341887777294,0.0,0.0,0.1371030882992605,0.8088734232274902,0.0,0.0
TOTO,2,30/12/2010 00:00,03/08/2013 00:00,10.0,B,0.4582845558589381,0.3273527904328019,48.66743916570104,0.0214025285288129,0.0421412300683371,0.0013977501063346,0.3185938897933442,1.210592255125285,0.4989346086462427,0.1742081447963801,,9.47014536673138e-05,0.0656281073914484,0.0294619173929518,2.8968713789107756,1,9.49622525046294e-05,0.0339015241441527,0.0487712486386666,0.3462758653345329,0.0,0.0515175907950187,0.0,0.4292816894739334,0.5192007197310479,0.0322458449737203,0.9311993939106964,0.0365547611155831,,0.5547611155831242,0.3919693167290118,,0.0,0.0,0.0307306217150433,0.1145887589374497,0.7266916047161324,0.1279890146313746,0.0,0.0,0.0118376817084142,0.8716321795539561,0.080306832709882,0.0148207774989346,0.5329324305128084,0.0,0.0355603958520763,0.059614565083574,0.0,0.0391590510914342,0.0,0.0,0.1539882531261841,0.8021978021978022,0.0,0.0
TOTO,2,08/11/2013 00:00,16/07/2016 00:00,16.25,C,0.4582845558589381,0.263665012862918,70.30346177805464,,0.2601984564498346,0.016204391963641,0.5270080278639085,1.493674367436744,0.3367637599926491,0.0954994511525796,0.0115776899751906,0.0001378296425617,0.0600018377285674,0.031024531024531,5.673222390317701,1,0.0022610862442896,0.0149047113654192,0.0708444362767619,0.2614168887255353,0.0,0.0711660387760727,0.023798584949003,0.2825507672516769,0.6224846090232473,0.0609207020123127,0.8818340531103556,0.0572452448773316,,0.3288155839382523,0.5993751722870532,,0.0,0.0,0.068507627274398,0.1135361146848006,0.7840011027384672,,0.0,0.0,0.0198730333977366,0.8384856012512649,0.0610451743490661,0.0328917103689391,0.3390719941078991,0.0,0.0576784426820475,0.0506608988223984,0.0,0.0633556923642378,0.0,0.0,0.0626262626262626,0.8746031746031746,0.0,0.0
TOTO,2,11/10/2016 00:00,25/05/2019 00:00,29.0,B,0.4582845558589381,0.3135868248772504,12.460721638314013,5.566688933422401e-05,0.2097560975609756,0.000157630172013,0.5136106752673175,2.023517017828201,,0.1446945337620579,0.0079977783948903,0.0003345787096414,0.1135894719232699,0.0241232968505695,7.72022971069455,1,0.00067035361153,0.0349142506005251,0.0355338404308478,0.073954805396702,0.0001672893548207,,0.0,,0.8619732385764255,0.0,0.9729054466714784,0.0270945533285214,,0.1466096518020769,0.8176264785916588,0.0366761856766896,0.0,5.55216256731997e-05,0.0243184720448614,0.0223196935206262,0.7421020487479874,,0.0,0.0,5.566688933422401e-05,0.9564128256513026,0.0327321309285237,0.0106323758628367,0.1298044878915796,0.0,0.0271505825946367,0.0248090539109104,0.0,0.0344865885488976,0.0,0.0,0.0206053160598615,0.9440473531382624,0.0,0.0
LOLA,1,06/10/2010 00:00,18/02/2012 00:00,10.0,C,0.3524820775511683,0.3207637474541752,55.17010783248349,0.0824119748256506,0.0576131687242798,0.0034302696997472,0.2439782795878121,1.235670731707317,,0.0670731707317073,0.0249192039462493,0.0,0.6465883954398502,0.0351832641770401,5.2244420295912395,1,0.0,0.0516106981115953,0.056387140670182,0.3839938765096105,0.0,,0.0,,0.3575437999659806,0.0916822588875659,,0.0487327776832794,0.0695696547031808,0.5241537676475589,0.4062765776492601,0.0745875148834835,0.0,0.000340193910529,0.0745875148834835,0.0650620853886715,0.3031978227589726,0.5568123830583432,0.0,0.0,0.0188807620343595,0.8452117707093043,0.0486477292056472,0.0048477632250382,0.8393434257526791,0.0,0.0475244102652726,0.2192171433509029,0.0,0.0716108181663548,0.0,0.0,0.3565871369294606,0.5860131396957123,0.0,0.0
LOLA,1,17/06/2012 00:00,14/02/2015 00:00,16.25,D,0.3524820775511683,0.2739437577255872,51.98440467859642,0.0001027326895418,0.3241279069767442,0.0105462443025133,0.5263770414505551,2.233843329253366,,0.1101591187270502,0.0238339839737004,0.0,0.4269570577357715,0.040793883535819,4.018712741838413,1,0.0014432989690721,0.0141237113402061,0.0699609615779741,0.1215327717279639,0.0,,0.0,,0.7291452640230122,0.0033901787548798,,0.064002465584549,0.0707850707850707,0.2618790218790219,0.6673359073359073,0.0721183480583521,0.0,5.13663447709061e-05,0.0441750565029792,0.0307170741730018,0.1313951099239778,0.7936613930552702,0.0,0.0,0.0107869324018902,0.9022498459009656,0.0664680501335525,0.0203924388740497,0.9248510376001644,0.0,0.0566368036247554,0.0506127072392132,0.0,0.0725806451612903,0.0,0.0,0.157624633431085,0.7800062840385421,0.0,0.0
LOLA,1,14/06/2015 00:00,28/05/2016 00:00,24.28983671132193,D,0.3524820775511683,0.2723318713450293,10.819908631882663,0.0,0.5392156862745098,0.0002527061445399,0.8031458930276982,1.840579710144927,,0.1345029239766082,0.0417225814322313,0.0,0.6202099096900171,0.0605002095850216,10.62173994791785,1,0.000122384041121,0.0168889976747032,0.0389166768329876,0.0348908137123337,0.0,,0.0,0.1411492009271685,0.8193241429791387,0.0,,0.040502622910821,0.0392826643894107,0.1994632182505795,0.7612541173600098,0.0392826643894107,0.0,0.0018308311973636,0.0114732088368119,0.0280727450262419,0.0461369461735628,0.9124862687660198,0.0,0.0,0.0,0.956139279169212,0.0422724496029321,0.0012217470983506,0.9438819080151276,0.0,0.0432645034414945,0.0577679449360865,0.0,0.0516042454556545,0.0,0.0,0.0380047505938242,0.8992594662568115,0.0,0.0
