TRIG;UNIT;DATE_DEBUT_DELTA;DATE_FIN_DELTA;VALEUR;MATERIAU;TENEUR;AP_mean;indicateur_1;indicateur_2;CHIMIE1;pc0min;pmd;CHIMIE2;indicateur_3;CHIMIE3;sortie_1;chimie3_first_range;chimie3_sr;indicateur_4;TARGET;info;indicateur_5;indicateur_6;sortie_2;sortie_3;CHIMIE4;indicateur_7;indicateur_8;indicateur_9;indicateur_10;indicateur_11;indicateur_12;indicateur_13;indicateur_14;indicateur_15;indicateur_16;indicateur_17;indicateur_18;indicateur_19;indicateur_20;indicateur_21;indicateur_22;indicateur_23;indicateur_24;indicateur_25;indicateur_26;indicateur_27;indicateur_28;indicateur_29;indicateur_30;indicateur_31;indicateur_32;indicateur_33;indicateur_34;indicateur_35;indicateur_36;indicateur_37;indicateur_38;indicateur_39;indicateur_40;indicateur_41
TOTO;1;19/12/2008 00:00;27/03/2010 00:00;10.49999982118607;A;0.4440632861322734;0.3785662921348315;10.062202707647273;0.0;0.1261261261261261;0.0;0.1772573194144469;1.187219730941704;0.7682721139430285;0.2746781115879828;0.1043853073463268;0.0;0.2242316341829085;0.01823198975066522;4.116355816697705;1;0.0003795786676788764;0.04137407477699753;0.02295727136431784;0.158452023988006;0.0;0.02314467766116942;0.0;0.2119565217391305;0.7648988005997002;0.0;0.9849137931034484;0.01508620689655172;0.02305097451274363;0.4206334332833584;0.556315592203898;0.02314467766116942;0.0;0.0;0.01349325337331334;0.01058845577211394;0.3143740629685157;0.6615442278860569;0.0;0.0;0.0;0.0;0.985850824587706;0.01414917541229385;0.8826836581709145;0.0;0.01711924439197167;0.1094057457693821;0.0;0.0232383808095952;0.0;0.0;0.1212180940179363;0.8538484281068296;0.0;0.0
TOTO;1;11/08/2010 00:00;24/09/2011 00:00;15.0;B;0.4440632861322734;0.3680228070175439;10.111223458038422;0.0;0.0339425587467363;0.0;0.3996009915783754;1.049751243781094;0.4858270169245146;0.1031941031941032;0.09531720485930847;0.0;0.3325719032291559;0.03063596027889288;0.0;1;0.0;0.04337424589140836;0.03914442944657876;0.3106634825044128;0.0;0.04360917869380127;0.0;0.3506385629737306;0.605752258332468;0.0;0.9692659121586544;0.03073408784134565;0.04412833558301318;0.4763783615408577;0.4794933028761292;0.04423216696085557;0.0;0.0;0.01266742809677084;0.03198006437545426;0.3778423839684353;0.5775101235593396;0.0;0.0;0.0;0.0;0.981621846121898;0.01837815387810196;0.9657356453120132;0.0;0.02250396196513471;0.07585842577918647;0.0;0.03955975495794829;0.0;0.0;0.2422353686879357;0.7201563490386647;0.0;0.0
TOTO;1;23/12/2011 00:00;19/07/2014 00:00;15.0;A;0.4440632861322734;0.2943383867276888;32.33213064055105;0.03635496183206107;0.1165714285714286;0.001142666962502774;0.3072398491235855;1.442306818181818;0.509780534351145;0.08646188850967007;0.0346851145038168;0.0;0.01552053486150907;0.03683385579937304;1.464317510894522;1;0.0;0.02695443645083933;0.0491412213740458;0.4393129770992367;0.0;0.04833015267175573;0.0;0.4665553435114504;;0.04327290076335878;0.9055343511450382;0.05119274809160305;0.05873091603053435;0.6372137404580153;0.3040553435114504;;0.0;0.0;0.03979007633587786;0.06159351145038167;0.4708492366412214;0.4277671755725191;0.0;0.0;0.009541984732824428;0.01359732824427481;0.9141698473282442;0.02633587786259542;0.8623371665791859;4.894762604013705e-05;0.03641703377386197;0.1680861478218307;0.0;0.04685114503816794;0.0;0.0;0.3702488244514107;0.5821904388714734;0.0;0.0
TOTO;1;08/10/2014 00:00;27/05/2017 00:00;18.125;A;0.4440632861322734;0.2972397762345679;41.79529802897174;0.05415739037847257;0.1747685185185185;7.218757218757218e-07;0.4982523388773389;1.703196347031964;0.3277340245239757;0.16;0.02944020110219472;0.0;0.07517072927570909;;9.261458085965328;1;0.006348095571328601;0.02139358192542237;0.06840375132940152;0.2541332302040027;0.0;0.06250604273421638;0.0;0.2692158948080828;0.6682780624577008;0.06215731233177151;0.8877479812580998;0.0500947064101286;0.06395629894614717;0.3404718166876148;0.5955718843662379;;0.0;0.0;0.04795513874117761;0.06564826452673306;0.1907086918688969;0.6956879048631925;0.0;0.0;0.01180911818797793;0.1918013745039203;0.7306649888684542;0.01147033201045397;0.7381320699990331;0.0;0.04123561829256502;0.1235134873827709;0.0;0.06347288020883689;0.0;0.0;0.4442618195881272;0.4835637629314512;0.0;0.0
TOTO;1;25/10/2017 00:00;10/11/2018 00:00;37.625;A;0.4440632861322734;0.2311388140161725;14.202993554026003;0.0002243158366980709;0.2830188679245283;0.0;0.8493493712411153;1.235376344086022;0.06216457960644008;0.06182795698924731;;0.0;0.2994969256567915;;4.50671910848902;1;0.003140069530111024;0.01693394639452731;0.05287279230941203;0.02962217750950145;0.0;0.05331991951710262;0.0;0.03688799463447352;0.909792085848424;0.0;0.9484685893136596;0.05153141068634026;0.05321408608160984;0.2128563443264393;0.7339295695919508;;0.0;0.0;0.03588195841716969;0.0185557791191594;0.02101497876145764;0.9245472837022132;0.0;0.0;0.0;0.9082548227904891;0.07738896366083446;0.01413189771197846;0.9278926774734488;0.0;0.04717719396310788;0.04918949133594186;0.0;0.05500279485746227;0.0;0.0;0.5284516489659027;0.4173281162660704;0.0;0.0
TOTO;2;17/01/2008 00:00;23/05/2009 00:00;29.375;B;0.4582845558589381;0.2763860294117647;76.11637347767252;0.09003299183886093;0.0273109243697479;0.002674966827588154;0.2005731063493408;1.137763713080169;0.5888647237929534;0.1331967213114754;;0.0;0.1517181383210091;0.02714223575467595;2.1143437077131257;0;0.003525373411262641;0.004267557287317932;0.0644209064073624;0.4352318110783122;0.0;0.06502865080743185;0.0;0.4931411703420733;0.4418301788504949;0.09597146088923693;0.8508657443661359;0.05316279474462717;;0.476732071540198;0.4534641430803959;;0.0;0.0;0.09064073623893038;0.06676506337905888;0.3722868553568328;0.470307345025178;0.0;0.0;0.01823233200208369;0.718961625282167;0.1451640909880187;0.0276089598888696;0.6210279562424031;0.001391909525880818;0.04897781644193128;0.08334058286211396;0.0;0.05863418877772945;0.0;0.0;0.1371030882992605;0.8088734232274902;0.0;0.0
TOTO;2;30/12/2010 00:00;03/08/2013 00:00;10.0;B;0.4582845558589381;0.3273527904328019;48.66743916570104;0.02140252852881292;0.04214123006833713;0.00139775010633461;0.3185938897933442;1.210592255125285;0.4989346086462427;0.1742081447963801;;9.47014536673138e-05;0.06562810739144846;0.02946191739295188;2.8968713789107756;1;9.49622525046294e-05;0.0339015241441527;0.0487712486386666;0.3462758653345329;0.0;0.05151759079501871;0.0;0.4292816894739334;0.5192007197310479;0.03224584497372034;0.9311993939106964;0.03655476111558312;;0.5547611155831242;0.3919693167290118;;0.0;0.0;0.03073062171504333;0.1145887589374497;0.7266916047161324;0.1279890146313746;0.0;0.0;0.01183768170841422;0.8716321795539561;0.08030683270988209;0.01482077749893461;0.5329324305128084;0.0;0.03556039585207633;0.05961456508357402;0.0;0.03915905109143426;0.0;0.0;0.1539882531261841;0.8021978021978022;0.0;0.0
TOTO;2;08/11/2013 00:00;16/07/2016 00:00;16.25;C;0.4582845558589381;0.263665012862918;70.30346177805464;;0.2601984564498346;0.016204391963641;0.5270080278639085;1.493674367436744;0.3367637599926491;0.0954994511525796;0.01157768997519066;0.0001378296425617936;0.06000183772856749;0.03102453102453102;5.673222390317701;1;0.002261086244289604;0.01490471136541923;0.07084443627676193;0.2614168887255353;0.0;0.07116603877607278;0.02379858494900304;0.2825507672516769;0.6224846090232473;0.06092070201231278;0.8818340531103556;0.05724524487733162;;0.3288155839382523;0.5993751722870532;;0.0;0.0;0.06850762727439809;0.1135361146848006;0.7840011027384672;;0.0;0.0;0.01987303339773668;0.8384856012512649;0.06104517434906615;0.03289171036893918;0.3390719941078991;0.0;0.05767844268204757;0.05066089882239847;0.0;0.0633556923642378;0.0;0.0;0.06262626262626263;0.8746031746031746;0.0;0.0
TOTO;2;11/10/2016 00:00;25/05/2019 00:00;29.0;B;0.4582845558589381;0.3135868248772504;12.460721638314011;5.566688933422401e-05;0.2097560975609756;0.0001576301720130172;0.5136106752673175;2.023517017828201;;0.1446945337620579;0.007997778394890308;0.0003345787096414432;0.1135894719232699;0.02412329685056958;7.72022971069455;1;0.0006703536115300823;0.03491425060052511;0.03553384043084781;0.07395480539670203;0.0001672893548207216;;0.0;;0.8619732385764255;0.0;0.9729054466714784;0.02709455332852146;;0.1466096518020769;0.8176264785916588;0.03667618567668962;0.0;5.55216256731997e-05;0.02431847204486148;0.02231969352062628;0.7421020487479874;;0.0;0.0;5.566688933422401e-05;0.9564128256513026;0.03273213092852372;0.01063237586283678;0.1298044878915796;0.0;0.02715058259463678;0.02480905391091041;0.0;0.03448658854889765;0.0;0.0;0.02060531605986152;0.9440473531382624;0.0;0.0
LOLA;1;06/10/2010 00:00;18/02/2012 00:00;10.0;C;0.3524820775511683;0.3207637474541752;55.17010783248349;0.08241197482565063;0.05761316872427984;0.003430269699747243;0.2439782795878121;1.235670731707317;;0.06707317073170732;0.02491920394624936;0.0;0.6465883954398502;0.03518326417704011;5.2244420295912395;1;0.0;0.05161069811159532;0.056387140670182;0.3839938765096105;0.0;;0.0;;0.3575437999659806;0.09168225888756593;;0.04873277768327947;0.06956965470318081;0.5241537676475589;0.4062765776492601;0.07458751488348359;0.0;0.0003401939105290015;0.07458751488348359;0.06506208538867155;0.3031978227589726;0.5568123830583432;0.0;0.0;0.01888076203435958;0.8452117707093043;0.04864772920564722;0.004847763225038272;0.8393434257526791;0.0;0.04752441026527262;0.2192171433509029;0.0;0.07161081816635483;0.0;0.0;0.3565871369294606;0.5860131396957123;0.0;0.0
